yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
190712,6.57,0.44,0.66,,,,,,,,,0.00499,0.066971,0.0704,0.100457,0.666667,,,,,,,,0.003015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190801,6.85,0.4367,0.6533,,,,,,,,,0.005418,0.063752,0.066469,0.095372,0.668452,,,,,,,,0.002322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190802,6.6,0.4333,0.6467,,,,,,,,,0.004414,0.065652,0.063255,0.097985,0.670017,,,,,,,,0.001873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190803,6.87,0.43,0.64,,,,,,,,,0.003373,0.062591,0.065152,0.093159,0.671875,,,,,,,,0.002309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190804,7.24,0.4267,0.6333,,,,,,,,,0.003831,0.058936,0.062111,0.087472,0.673772,,,,,,,,0.000991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190805,7.63,0.4233,0.6267,,,,,,,,,0.002931,0.055478,0.058467,0.082136,0.675443,,,,,,,,0.001986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190806,7.64,0.42,0.62,,,,,,,,,0.002547,0.054974,0.055046,0.081152,0.677419,,,,,,,,0.001913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190807,7.92,0.4167,0.6133,,,,,,,,,0.002326,0.052614,0.054542,0.077437,0.679439,,,,,,,,0.001631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190808,8.26,0.4133,0.6067,,,,,,,,,0.002407,0.050036,0.052184,0.07345,0.681226,,,,,,,,0.001274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190809,8.17,0.41,0.6,,,,,,,,,0.002296,0.050184,0.049637,0.073439,0.683333,,,,,,,,0.002149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190810,8.27,0.4067,0.5933,,,,,,,,,0.00254,0.049178,0.04978,0.071741,0.685488,,,,,,,,0.000955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190811,8.83,0.4033,0.5867,,,,,,,,,0.002636,0.045674,0.048767,0.066444,0.687404,,,,,,,,0.001454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190812,9.03,0.4,0.58,,,,,,,,,0.002613,0.044297,0.0453,0.06423,0.689655,,,,,,,,0.001194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190901,9.06,0.4033,0.595,,,,,,,,,0.002481,0.044514,0.044662,0.065673,0.677815,,,,,,,,0.000879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190902,8.8,0.4067,0.61,,,,,,,,,0.002385,0.046216,0.04489,0.069318,0.666721,,,,,,,,0.001795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190903,8.92,0.41,0.625,,,,,,,,,0.002244,0.045964,0.046591,0.070067,0.656,,,,,,,,0.000727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190904,9.32,0.4133,0.64,,,,,,,,,0.002222,0.044345,0.046334,0.06867,0.645781,,,,,,,,0.000656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190905,9.63,0.4167,0.655,,,,,,,,,0.002222,0.043271,0.04471,0.068017,0.636183,,,,,,,,0.000321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190906,9.8,0.42,0.67,,,,,,,,,0.002178,0.042857,0.043614,0.068367,0.626866,,,,,,,,0.00087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190907,9.94,0.4233,0.685,,,,,,,,,0.002038,0.042586,0.043194,0.068913,0.617956,,,,,,,,0.000279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190908,10.18,0.4267,0.7,,,,,,,,,0.002134,0.041916,0.042928,0.068762,0.609571,,,,,,,,0.001399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190909,10.19,0.43,0.715,,,,,,,,,0.002621,0.042198,0.04224,0.070167,0.601399,,,,,,,,0.00125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190910,10.23,0.4333,0.73,,,,,,,,,0.002724,0.042356,0.042522,0.071359,0.593562,,,,,,,,0.000955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190911,10.18,0.4367,0.745,,,,,,,,,0.003351,0.042898,0.042688,0.073183,0.586174,,,,,,,,0.000526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190912,10.3,0.44,0.76,,,,,,,,,0.003366,0.042718,0.043222,0.073786,0.578947,,,,,,,,0.000377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191001,10.08,0.4425,0.7575,,,,,,,,,0.00341,0.043899,0.042961,0.075149,0.584158,,,,,,,,0.002257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191002,9.72,0.445,0.755,,,,,,,,,0.003145,0.045782,0.044147,0.077675,0.589404,,,,,,,,0.001819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191003,9.96,0.4475,0.7525,,,,,,,,,0.002916,0.04493,0.046039,0.075552,0.594684,,,,,,,,0.000833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191004,9.72,0.45,0.75,,,,,,,,,0.00296,0.046296,0.045181,0.07716,0.6,,,,,,,,0.001694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191005,9.56,0.4525,0.7475,,,,,,,,,0.003145,0.047333,0.046553,0.07819,0.605351,,,,,,,,0.001365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191006,9.1,0.455,0.745,,,,,,,,,0.003145,0.05,0.047594,0.081868,0.610738,,,,,,,,0.002795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191007,8.64,0.4575,0.7425,,,,,,,,,0.00327,0.052951,0.050275,0.085938,0.616162,,,,,,,,0.003287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191008,8.85,0.46,0.74,,,,,,,,,0.00361,0.051977,0.053241,0.083616,0.621622,,,,,,,,0.001587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191009,8.91,0.4625,0.7375,,,,,,,,,0.003647,0.051908,0.05226,0.082772,0.627119,,,,,,,,0.000687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191010,9.32,0.465,0.735,,,,,,,,,0.00372,0.049893,0.052189,0.078863,0.632653,,,,,,,,0.000741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191011,9.31,0.4675,0.7325,,,,,,,,,0.003742,0.050215,0.050161,0.078679,0.638225,,,,,,,,0.001161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191012,9.05,0.47,0.73,,,,,,,,,0.003698,0.051934,0.050483,0.080663,0.643836,,,,,,,,0.000683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191101,9.27,0.47,0.7183,,,,,,,,,0.003078,0.050701,0.051934,0.077487,0.654323,,,,,,,,0.000567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191102,9.43,0.47,0.7067,,,,,,,,,0.002584,0.049841,0.050701,0.074942,0.665063,,,,,,,,0.000623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191103,9.32,0.47,0.695,,,,,,,,,0.002636,0.050429,0.049841,0.074571,0.676259,,,,,,,,0.000639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191104,9.28,0.47,0.6833,,,,,,,,,0.002517,0.050647,0.050429,0.073631,0.687838,,,,,,,,0.000282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191105,9.48,0.47,0.6717,,,,,,,,,0.002333,0.049578,0.050647,0.070854,0.699717,,,,,,,,0.000632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191106,9.67,0.47,0.66,,,,,,,,,0.002311,0.048604,0.049578,0.068252,0.712121,,,,,,,,0.000292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191107,9.63,0.47,0.6483,,,,,,,,,0.002355,0.048806,0.048604,0.067321,0.724973,,,,,,,,0.000319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191108,9.17,0.47,0.6367,,,,,,,,,0.002429,0.051254,0.048806,0.069433,0.738181,,,,,,,,0.001378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191109,8.67,0.47,0.625,,,,,,,,,0.002731,0.05421,0.051254,0.072088,0.752,,,,,,,,0.001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191110,8.72,0.47,0.6133,,,,,,,,,0.002982,0.053899,0.05421,0.070333,0.766346,,,,,,,,0.000526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191111,9.07,0.47,0.6017,,,,,,,,,0.002857,0.051819,0.053899,0.06634,0.78112,,,,,,,,0.001058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191112,9.11,0.47,0.59,,,,,,,,,0.002547,0.051592,0.051819,0.064764,0.79661,,,,,,,,0.00042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191201,9.12,0.4708,0.5992,,,,,,,,,0.003049,0.051623,0.051679,0.065702,0.785714,,,,,,,,0.000482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191202,9.04,0.4717,0.6083,,,,,,,,,0.002517,0.052179,0.051721,0.06729,0.77544,,,,,,,,0.000161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191203,9.3,0.4725,0.6175,,,,,,,,,0.002407,0.050806,0.052268,0.066398,0.765182,,,,,,,,0.000414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191204,9.59,0.4733,0.6267,,,,,,,,,0.002731,0.049353,0.050892,0.065349,0.755226,,,,,,,,0.000527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191205,9.58,0.4742,0.6358,,,,,,,,,0.002695,0.049499,0.049447,0.066367,0.745832,,,,,,,,0.000754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191206,9.58,0.475,0.645,,,,,,,,,0.002731,0.049582,0.049582,0.067328,0.736434,,,,,,,,0.000442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191207,9.59,0.4758,0.6542,,,,,,,,,0.002591,0.049614,0.049666,0.068217,0.727301,,,,,,,,0.00055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191208,9.81,0.4767,0.6633,,,,,,,,,0.002975,0.048593,0.049708,0.067615,0.718679,,,,,,,,0.000332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191209,9.86,0.4775,0.6725,,,,,,,,,0.003329,0.048428,0.048675,0.068205,0.710037,,,,,,,,0.00043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191210,9.84,0.4783,0.6817,,,,,,,,,0.003742,0.048608,0.048509,0.069278,0.701628,,,,,,,,0.000714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191211,9.73,0.4792,0.6908,,,,,,,,,0.004015,0.04925,0.048699,0.070997,0.693688,,,,,,,,0.000746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191212,9.38,0.48,0.7,,,,,,,,,0.003861,0.051173,0.049332,0.074627,0.685714,,,,,,,,0.000902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191301,9.3,0.48,0.6942,,,,,,,,,0.004067,0.051613,0.051173,0.074645,0.691443,,,,,,,,0.001201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191302,8.97,0.48,0.6883,,,,,,,,,0.003189,0.053512,0.051613,0.076734,0.69737,,,,,0,,,0.000753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191303,8.8,0.48,0.6825,,,,,,,,,0.003255,0.054545,0.053512,0.077557,0.703297,,,,,0,,,0.000757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191304,8.79,0.48,0.6767,,,,,,,,,0.00389,0.054608,0.054545,0.076985,0.709325,,,,,0,,,0.000724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191305,8.55,0.48,0.6708,,,,,,,,,0.003713,0.05614,0.054608,0.078456,0.715564,,,,,-0.010204,,,0.000582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191306,8.12,0.48,0.665,,,,,,,,,0.003587,0.059113,0.05614,0.081897,0.721805,,,,,0.010309,,,0.00262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191307,8.23,0.48,0.6592,,,,,,,,,0.003979,0.058323,0.059113,0.080097,0.728155,,,,,0.010204,,,0.000556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191308,8.45,0.48,0.6533,,,,,,,,,0.004097,0.056805,0.058323,0.077314,0.734731,,,,,0,,,0.000556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191309,8.53,0.48,0.6475,,,,,,,,,0.004067,0.056272,0.056805,0.075909,0.741313,,,,,0.010101,,,0.000677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191310,8.26,0.48,0.6417,,,,,,,,,0.003927,0.058111,0.056272,0.077688,0.748013,,,,,0,,,0.001087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191311,8.05,0.48,0.6358,,,,,,,,,0.003816,0.059627,0.058111,0.078981,0.754954,,,,,0.01,,,0.000451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191312,8.04,0.48,0.63,,,,,,,,,0.003742,0.059701,0.059627,0.078358,0.761905,,,,,-0.009901,,,0.000712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191401,8.37,0.475,0.6208,,,,,,,,,0.003838,0.05675,0.05908,0.07417,0.765142,,,,,0,,,0.000731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191402,8.48,0.47,0.6117,,,,,,,,,0.002982,0.055425,0.056153,0.072134,0.76835,,,,,-0.01,,,0.000405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191403,8.32,0.465,0.6025,,,,,,,,,0.002481,0.055889,0.054835,0.072416,0.771784,,,,,0,,,0.000669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191404,8.12,0.46,0.5933,,,,,,,,,0.002473,0.05665,0.055288,0.073067,0.775324,,,,,-0.010101,,,0.000848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191405,8.17,0.455,0.5842,,,,,,,,,0.002399,0.055692,0.056034,0.071506,0.778843,,,,,0.010204,,,0.000543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191406,8.13,0.45,0.575,,,,,,,,,0.002503,0.055351,0.05508,0.070726,0.782609,,,,,0,,,0.000642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191407,7.68,0.445,0.5658,,,,,,,,,0.002488,0.057943,0.054736,0.073672,0.786497,,,,,0.010101,,,0.005177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191408,7.68,0.44,0.5567,,,,,,,,,0.002916,0.057292,0.057292,0.072487,0.790372,,,,,0.02,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191409,7.68,0.435,0.5475,,,,,,,,,0.004318,0.056641,0.056641,0.071289,0.794521,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191410,7.68,0.43,0.5383,,,,,,,,,0.004584,0.05599,0.05599,0.070091,0.798811,,,,,-0.009804,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191411,7.68,0.425,0.5292,,,,,,,,,0.004392,0.055339,0.055339,0.068906,0.803099,,,,,0.009901,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191412,7.35,0.42,0.52,,,,,,,,,0.003698,0.057143,0.054688,0.070748,0.807692,,,,,-0.009804,,,0.002586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191501,7.48,0.4208,0.55,,,,,,,,,0.00285,0.056257,0.057252,0.073529,0.765091,,,,,0,,,0.001444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191502,7.38,0.4217,0.58,,,,,,,,,0.002481,0.057141,0.056377,0.078591,0.727069,,,,,-0.009901,,,0.000799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191503,7.57,0.4225,0.61,,,,,,,,,0.002407,0.055812,0.057249,0.080581,0.692623,,,,,-0.01,,,0.000821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191504,8.14,0.4233,0.64,,,,,,,,,0.002134,0.052002,0.055918,0.078624,0.661406,,,,,0.010101,,,0.001695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191505,7.95,0.4242,0.67,,,,,,,,,0.00234,0.053358,0.052113,0.084277,0.633134,,,,,0.01,,,0.004929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191506,8.04,0.425,0.7,,,,,,,,,0.002385,0.052861,0.053459,0.087065,0.607143,,,,,0,,,0.00168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191507,8.01,0.4258,0.73,,,,,,,,,0.002333,0.053159,0.05296,0.091136,0.583288,,,,,0,,,0.001254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191508,8.35,0.4267,0.76,,,,,,,,,0.002038,0.051102,0.053271,0.091018,0.561447,,,,,0,,,0.001812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191509,8.66,0.4275,0.79,,,,,,,,,0.002244,0.049365,0.051198,0.091224,0.541139,,,,,0,,,0.000938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191510,9.14,0.4283,0.82,,,,,,,,,0.00206,0.04686,0.049457,0.089716,0.522317,,,,,0.009901,,,0.001553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191511,9.46,0.4292,0.85,,,,,,,,,0.002016,0.04537,0.046958,0.089852,0.504941,,,,,0.009804,,,0.000991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191512,9.48,0.43,0.88,,,,,,,,,0.001846,0.045359,0.045455,0.092827,0.488636,,,,,0,,,0.001191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191601,9.33,0.4408,0.9342,,,,,,,,,0.00192,0.047245,0.046498,0.100129,0.471848,,,,,0.009709,,,0.001388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191602,9.2,0.4517,0.9883,,,,,,,,,0.001942,0.049098,0.048414,0.107424,0.457047,,,,,0,,,0.001124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191603,9.17,0.4625,1.042,,,,,,,,,0.001942,0.050436,0.050272,0.113631,0.443858,,,,,0.009615,,,0.000794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191604,9.07,0.4733,1.097,,,,,,,,,0.001942,0.052183,0.051614,0.120948,0.431449,,,,,0.009524,,,0.001868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191605,9.27,0.4842,1.151,,,,,,,,,0.001942,0.052233,0.053385,0.124164,0.420678,,,,,0.009434,,,0.001019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191606,9.36,0.495,1.205,,,,,,,,,0.001942,0.052885,0.053398,0.128739,0.410788,,,,,0.009346,,,0.001111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191607,9.23,0.5058,1.259,,,,,,,,,0.002311,0.0548,0.054038,0.136403,0.401747,,,,,0,,,0.000533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191608,9.3,0.5167,1.313,,,,,,,,,0.002569,0.055559,0.05598,0.141183,0.393526,,,,,0.009259,,,0.001006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191609,9.68,0.5275,1.368,,,,,,,,,0.002385,0.054494,0.05672,0.141322,0.385599,,,,,0.018349,,,0.000763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191610,9.98,0.5383,1.422,,,,,,,,,0.002134,0.053938,0.05561,0.142485,0.378551,,,,,0.018018,,,0.001631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191611,10.21,0.5492,1.476,,,,,,,,,0.002134,0.05379,0.05503,0.144564,0.372087,,,,,0.017699,,,0.000813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191612,9.8,0.56,1.53,,,,,,,,,0.002215,0.057143,0.054848,0.156122,0.366013,,,,,0.008696,,,0.005782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191701,9.57,0.5708,1.509,,,,,,,,,0.002525,0.059645,0.058245,0.15768,0.378264,,,,,0.008621,,,0.001501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191702,9.03,0.5817,1.488,,,,,,,,,0.002259,0.064419,0.060784,0.164784,0.390927,,,,,0.025641,,,0.004516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191703,9.31,0.5925,1.468,,,,,,,,,0.002658,0.063641,0.065615,0.15768,0.40361,,,,,0,,,0.001459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191704,9.17,0.6033,1.447,,,,,,,,,0.00268,0.065791,0.064801,0.157797,0.416932,,,,,0.05,,,0.001521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191705,8.86,0.6142,1.426,,,,,,,,,0.002798,0.069323,0.066979,0.160948,0.430715,,,,,0.015873,,,0.001923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191706,9.04,0.625,1.405,,,,,,,,,0.003204,0.069137,0.070542,0.15542,0.44484,,,,,0.015625,,,0.000843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191707,8.79,0.6358,1.384,,,,,,,,,0.003329,0.072332,0.070332,0.157452,0.459393,,,,,-0.015385,,,0.000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191708,8.53,0.6467,1.363,,,,,,,,,0.003093,0.075815,0.073572,0.159789,0.474468,,,,,0.015625,,,0.001366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191709,8.12,0.6575,1.343,,,,,,,,,0.003174,0.080973,0.077081,0.165394,0.489576,,,,,0.023077,,,0.002934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191710,7.68,0.6683,1.322,,,,,,,,,0.003462,0.087018,0.082303,0.172135,0.505522,,,,,0.015038,,,0.004131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191711,7.04,0.6792,1.301,,,,,,,,,0.00361,0.096477,0.088438,0.184801,0.52206,,,,,0,,,0.005546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191712,6.8,0.69,1.28,,,,,,,,,0.003654,0.101471,0.098011,0.188235,0.539063,,,,,0.014815,,,0.008878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191801,7.21,0.68,1.256,,,,,,,,,0.003698,0.094313,0.1,0.174202,0.541401,,,,,0.021898,,,0.002285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191802,7.43,0.67,1.232,,,,,,,,,0.00375,0.090175,0.092926,0.165814,0.543831,,,,,0.007143,,,0.001057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191803,7.28,0.66,1.208,,,,,,,,,0.003831,0.090659,0.088829,0.165934,0.546358,,,,,-0.007092,,,0.001354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191804,7.21,0.65,1.183,,,,,,,,,0.003979,0.090153,0.089286,0.164078,0.549451,,,,,0.014286,,,0.001131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191805,7.44,0.64,1.159,,,,,,,,,0.004001,0.086022,0.088766,0.15578,0.5522,,,,,0.021127,,,0.001464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191806,7.45,0.63,1.135,,,,,,,,,0.003979,0.084564,0.084677,0.152349,0.555066,,,,,0.013793,,,0.000552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191807,7.51,0.62,1.111,,,,,,,,,0.003979,0.082557,0.083221,0.147936,0.558056,,,,,0.027211,,,0.00074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191808,7.58,0.61,1.087,,,,,,,,,0.003979,0.080475,0.081225,0.143404,0.561178,,,,,0.019868,,,0.00041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191809,7.54,0.6,1.063,,,,,,,,,0.004023,0.079576,0.079156,0.140981,0.56444,,,,,0.019481,,,0.000902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191810,7.86,0.59,1.038,,,,,,,,,0.004067,0.075064,0.078249,0.132061,0.568401,,,,,0.019108,,,0.001991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191811,8.06,0.58,1.014,,,,,,,,,0.004067,0.07196,0.073791,0.125806,0.571992,,,,,0.01875,,,0.002385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191812,7.9,0.57,0.99,,,,,,,,,0.004045,0.072152,0.07072,0.125316,0.575758,,,,,0.01227,,,0.001089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191901,7.85,0.5667,0.985,,,0.0535,0.0712,0.0463,,,,0.003927,0.072191,0.071734,0.125478,0.57533,,,0.0177,,0,,,0.000766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191902,7.88,0.5633,0.98,,,0.0535,0.072,0.047,,,,0.003514,0.071485,0.071758,0.124365,0.574796,,,0.0185,,-0.018182,,,0.000646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191903,8.12,0.56,0.975,,,0.0539,0.0715,0.0473,,,,0.003462,0.068966,0.071066,0.120074,0.574359,,,0.0176,,0.012346,,,0.001159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191904,8.39,0.5567,0.97,,,0.0544,0.0723,0.0472,,,,0.00361,0.066353,0.068559,0.115614,0.573918,,,0.0179,,0.018293,,,0.000536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191905,8.97,0.5533,0.965,,,0.0539,0.0709,0.0467,,,,0.00361,0.061683,0.065948,0.107581,0.573368,,,0.017,,0.011976,,,0.001189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191906,9.21,0.55,0.96,,,0.054,0.0704,0.0469,,,,0.00361,0.059718,0.061315,0.104235,0.572917,,,0.0164,,0,,,0.003037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191907,9.51,0.5467,0.955,,,0.0544,0.0706,0.0472,,,,0.00372,0.057487,0.059359,0.100421,0.572461,,,0.0162,,0.029586,,,0.001447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191908,8.87,0.5433,0.95,,,0.0556,0.0713,0.0478,,,,0.003647,0.061251,0.057129,0.107103,0.571895,,,0.0157,,0.017241,,,0.006089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191909,9.01,0.54,0.945,,,0.056,0.0727,0.0473,,,,0.00361,0.059933,0.060879,0.104883,0.571429,,,0.0167,,0.00565,,,0.001234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191910,9.47,0.5367,0.94,,,0.0554,0.0734,0.0471,,,,0.00361,0.056674,0.059567,0.099261,0.570957,,,0.018,,0.016854,,,0.002017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
