yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
188512,5.2,0.24,0.27,,,,,,,,,0.002916,0.046154,0.045802,0.051923,0.888889,,,,,,,,0.003026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188601,5.2,0.2383,0.275,,,,,,,,,0.00296,0.045827,0.045827,0.052885,0.866545,,,,,,,,0.001729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188602,5.3,0.2367,0.28,,,,,,,,,0.00282,0.04466,0.045519,0.05283,0.845357,,,,,,,,0.001547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188603,5.19,0.235,0.285,,,,,,,,,0.002517,0.045279,0.04434,0.054913,0.824561,,,,,,,,0.001832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188604,5.12,0.2333,0.29,,,,,,,,,0.002495,0.045566,0.044952,0.056641,0.804483,,,,,,,,0.001223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188605,5.02,0.2317,0.295,,,,,,,,,0.002776,0.046155,0.045254,0.058765,0.785424,,,,,,,,0.001909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188606,5.25,0.23,0.3,,,,,,,,,0.002636,0.04381,0.045817,0.057143,0.766667,,,,,,,,0.001283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188607,5.33,0.2283,0.305,,,,,,,,,0.002481,0.042833,0.043486,0.057223,0.748525,,,,,,,,0.001035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188608,5.37,0.2267,0.31,,,,,,,,,0.002547,0.042216,0.042533,0.057728,0.73129,,,,,,,,0.00095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188609,5.51,0.225,0.315,,,,,,,,,0.003469,0.040835,0.041899,0.057169,0.714286,,,,,,,,0.000852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188610,5.65,0.2233,0.32,,,,,,,,,0.003927,0.039522,0.040526,0.056637,0.697813,,,,,,,,0.00089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188611,5.79,0.2217,0.325,,,,,,,,,0.004111,0.03829,0.039239,0.056131,0.682154,,,,,,,,0.000393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188612,5.64,0.22,0.33,,,,,,,,,0.004008,0.039007,0.037997,0.058511,0.666667,,,,,,,,0.002815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188701,5.58,0.2225,0.3325,,,,,,,,,0.004045,0.039875,0.03945,0.059588,0.669173,,,,,,,,0.001826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188702,5.54,0.225,0.335,,,,,,,,,0.003698,0.040614,0.040323,0.060469,0.671642,,,,,,,,0.002042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188703,5.67,0.2275,0.3375,,,,,,,,,0.003189,0.040123,0.041065,0.059524,0.674074,,,,,,,,0.000622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188704,5.8,0.23,0.34,,,,,,,,,0.003587,0.039655,0.040564,0.058621,0.676471,,,,,,,,0.000353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188705,5.9,0.2325,0.3425,,,,,,,,,0.00361,0.039407,0.040086,0.058051,0.678832,,,,,,,,0.000386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188706,5.73,0.235,0.345,,,,,,,,,0.003484,0.041012,0.039831,0.060209,0.681159,,,,,,,,0.001458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188707,5.59,0.2375,0.3475,,,,,,,,,0.003425,0.042487,0.041449,0.062165,0.683453,,,,,,,,0.001705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188708,5.45,0.24,0.35,,,,,,,,,0.004207,0.044037,0.042934,0.06422,0.685714,,,,,,,,0.002336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
